,Time,error_pat,des_pat,Acc.
0,0,00,11,90.68000000000012
1,1,00,11,90.5191
2,2,00,11,89.96700000000001
3,3,00,11,88.86230000000002
4,4,00,11,86.43089999999998
5,5,00,11,80.60340000000001
6,6,00,11,62.6931
7,7,00,11,29.620900000000006
8,8,00,11,14.997199999999998
9,9,00,11,10.979399999999998
10,10,00,11,10.0
11,11,00,11,10.0
12,12,00,11,10.0
13,13,00,11,10.0
14,14,00,11,10.0
15,15,00,11,10.0
16,16,00,11,10.0
17,17,00,11,10.0
18,18,00,11,10.0
19,19,00,11,10.0
20,20,00,11,10.0
21,21,00,11,10.0
22,22,00,11,10.0
23,23,00,11,10.0
24,24,00,11,10.0
