,Time,error_pat,des_pat,Acc.
0,0,00,11,92.85999999999994
1,1,00,11,92.2326
2,2,00,11,89.84199999999998
3,3,00,11,83.21700000000003
4,4,00,11,77.03609999999999
5,5,00,11,63.4991
6,6,00,11,37.85480000000001
7,7,00,11,10.585
8,8,00,11,9.956800000000001
9,9,00,11,10.0
10,10,00,11,10.0
11,11,00,11,10.0
12,12,00,11,10.0
13,13,00,11,10.0
14,14,00,11,10.0
15,15,00,11,10.0
16,16,00,11,10.0
17,17,00,11,10.0
18,18,00,11,10.0
19,19,00,11,10.0
20,20,00,11,10.0
21,21,00,11,10.0
22,22,00,11,10.0
23,23,00,11,10.0
24,24,00,11,10.0
